Row Num,Manufacturer ID,Manufacturer Name,Manufacturer Code
1,726,"ASHOK LEYLAND",M_125911
2,1516,"ASTON MARTIN",M_150000
3,701,"AUDI",M_122162
4,716,"BAJAJ AUTO",M_122179
5,702,"BENTLEY",M_122163
6,703,"BMW",M_122164
7,1587,"BMW",VEH_MANF_041
8,1517,"BUGATTI",M_150001
9,2069,"BYD INDIA PVT. LTD .",M_160619
10,754,"CHEVROLET",M_127711
11,2087,"CITROEN",M_160638
12,705,"DAEWOO",M_122166
13,1518,"DATSUN",M_150002
14,1525,"DC",M_160001
15,727,"EICHER",M_125912
16,606,"FERRARI",MANF_647
17,706,"FIAT",M_122167
18,11,"FORCE MOTORS",MAKE_125913
19,728,"FORCE MOTORS",M_125913
20,2870,"FORCE MOTORS",M_125913_01
21,707,"FORD",M_122168
22,746,"HINDUSTAN MOTORS",M_127625
23,710,"HONDA",M_122171
24,712,"HYUNDAI",M_122173
25,713,"ICML",M_122174
26,1519,"ISUZU",M_150003
27,1539,"ISUZU MOTORS",M_1845816
28,757,"JAGUAR",M_127745
29,1541,"JEEP",M_1845868
30,1762,"KIA MOTORS",M_160211
31,1776,"KIA MOTORS",M_160238
32,1520,"KOENINSEGG",M_150004
33,714,"LAMBORGHINI",M_122175
34,890,"LAND ROVER",M_144039
35,2702,"LAND ROVER",M_161355
36,1521,"LEXUS",M_150005
37,2668,"LOTUS",M_161320
38,2,"M V TRAILERS",3
39,711,"MAHINDRA AND MAHINDRA",M_122172
40,1252,"MAHINDRA SSANGYONG",M_1845108
41,695,"MARUTI SUZUKI",M_122156
42,1522,"MASERATI",M_150006
43,1542,"MAZDA",M_1845872
44,1948,"MCLAREN",M_160487
45,697,"MERCEDES BENZ",M_122158
46,3030,"MG",M_160191
47,1538,"MINI",M_1845628
48,698,"MITSUBISHI",M_122159
49,1746,"MORRIS GARAGES",M_160191
50,700,"NISSAN",M_122161
51,715,"OPEL",M_122176
52,762,"PIAGGIO",M_127965
53,2390,"PMV",M_160937
54,699,"PORSCHE",M_122160
55,687,"PREMIER",M_122148
56,32,"RENAULT",MAKE_128732
57,688,"ROLLS ROYCE",M_122149
58,1523,"SAN",M_150007
59,690,"SKODA",M_122151
60,730,"SML ISUZU",M_125917
61,810,"TATA MOTORS",M_128694
62,3104,"TESLA",M_161750
63,694,"TOYOTA",M_122155
64,6,"TOYOTA",MAKE_122155
65,2971,"VAYVE",M_161622
66,3133,"VINFAST",M_161778
67,692,"VOLKSWAGEN",M_122153
68,693,"VOLVO",M_122154
69,2108,"VOLVO",M_160470
